Lake,Acamptocladius,Abiskomyia,Ablabesmyia type,Brilla,Chaetocladius,Chironominae early instar,Chironomus,Cladopelma,Cladotanytarsus mancus,Clinotanypus,Corynocera ambigua,Corynocera oliveri type,Constempellina Thienemanniola,Corynoneura Thienemanniella,Cricotopus,Cryptochironomus,Cryptotendipes,Demicryptochironomus,Derotanypus,Diamesa,Dicrotendipes,Diplocladius Trissocladius,Doithrix,Einfeldia,Endochironomus,Eukiefferiella,Geoorthocladius,Glyptotendipes,Guttipelopia,Heterotanytarsus,Heterotrissocladius,Hudsonimyia type,Hydrobaenus Oliveridia,Hyporhygma quadripunctatum,Labrundinia,Lasiodiamesa,Limnophyes / Paralimnophyes,Lauterborniella,Macropelopia,Macropelopini undiff,Mesocricotopus,Metriocnemus,Microchironomus,Micropsectra,Microtendipes,Monodiamesa,Nanocladius,Neostempellina,Nilothauma,Orthocladius,Pagastiella,Parochlus,Parachaetocladius,Paramerina,Parachironomus,Paracladius,Paracladopelma,Paralauterborniella,Paracricotopus,Parakiefferiella nigra,Parakiefferiella sp B,Parakiefferiella triquetra,Parakiefferiella type A,Paraphaenocladius Parametriocnemus,Paratanytarsus,Paratendipes,Pentaneurini undiff,Phaenopscetra,Polypedilum,Procladius,Prosilocerus-type N,Protanypus,Prodiamesa,Psectrocladius (Mono) calcaratus,Psectrocladius allopsectrocladius,Psectrocladius septentrionalis-type,Psectrocladius meso barbatipes,Psectrocladius nr. Barmimanus,Psectrocladius barmimanus,Psectrocladius sordidellus-type,Psectrocladius psilopterus,Psectrocladius undiff.,Pseudochironomus,Pseudodiamesa,Psilometricnemus,Pseudorthocladius,Pseudosmittia,Rheocricotopus,Rheotanytarsus,Sergentia coracina-type,Smittia type,Stempellina,Stempellinella ,Stenochironomus,Stictochironomus,Stilocladius,Symposiocladius,Synorthcladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus gracilentus,Tanytarsus lactescens-type,Tanytarsus mendax type,Tanytarsus glabrescens-type,Tanytarsus pallidicornis type,Tanytarsus nemorosus,Thienemannimyia type,Tribelos ,Trichotanypus,Tvetenia,Xenochironomus,Zalutschia lingulata pauca,Zalutschia sp. C,Zalutschia unknown,Zalutschia zalutschicola,Zavreliella,Zavrelimyia type,No ID
PD03,0,0,0,0,0,0,3,0,0,0,0,0,0,2,24.5,0,0,0,0,0,1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
PD06,0,0,0,0,0,0,12.5,0,0,0,0,0,0,1,16.5,0,0,0,0,0,3,0,0,0,4,0,0,3.5,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5
PD07,0,0,0,0,0,0,5.5,0,0,0,0,0,0,2,11,0.5,0,0,0,0,4,0,0,0,3.5,0,0,1,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5
PD37,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,2.5,0,0,0,9.5,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5
PD38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,41,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
PD47,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,10.5,0,0,0,0,0,8.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
PD51,0,0,0,0,0,0,6,0,0,0,0,0,0,2,12,0,0,0,0,0,14.5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5
PD52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,32.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PD53,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5
PD63,0,0,0,0,1.5,0,13.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,4,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
PD67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
PD70,0,0,0,0,0,0,17,0,0,0,0,0,0,0,9.5,0,0,0,0,0,1,0,0,0,0.5,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20.5
PD64,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
PD66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5
